query_address,Latitude,Longitude
"Kyoto, JAPAN",35.0115754,135.7681441
"Edinburgh, UNITED KINGDOM",55.9533456,-3.1883749
"Santa Monica, UNITED STATES",34.0194704,-118.491227
"Bellevue, UNITED STATES",47.6144219,-122.192337
"Warsaw, POLAND",52.2333742,21.0711489
"Montreal, CANADA",45.5031824,-73.5698065
"Cary, UNITED STATES",35.7882893,-78.7812081
"Tokyo, JAPAN",35.6768601,139.7638947
"Amsterdam, NETHERLANDS",52.3730796,4.8924534
"Los Angeles, UNITED STATES",34.0536909,-118.242766
"Burbank, UNITED STATES",34.1812089,-118.307201
"Edmonton, CANADA",53.5462055,-113.491241
"Espoo, FINLAND",60.2049651,24.6559808
"Osaka, JAPAN",34.6937569,135.5014539
"Rockville, UNITED STATES",39.0817985,-77.1516844
"Ghent, BELGIUM",51.0538286,3.7250121
"Lyon, FRANCE",45.7578137,4.8320114
"Shenzhen, CHINA",22.5445741,114.0545429
"Shanghai, CHINA",31.2312707,121.4700152
"Bordeaux, FRANCE",44.841225,-0.5800364
"Copenhagen, DENMARK",55.6867243,12.5700724
"Stockholm, SWEDEN",59.3251172,18.0710935
"Horsham, UNITED KINGDOM",51.0630273,-0.3295028
"Leamington Spa, UNITED KINGDOM",52.2913394,-1.536404
"San Sebastián de los Reyes, SPAIN",40.5473698,-3.6260586
"Sliema, MALTA",35.9127609,14.5020708
"Sherman Oaks, UNITED STATES",34.1508718,-118.448986
"Irvine, UNITED STATES",33.6856969,-117.825981
"Chicago, UNITED STATES",41.8755616,-87.6244212
"Austin, UNITED STATES",30.2711286,-97.7436995
"Vancouver, CANADA",49.2608724,-123.113952
"Richardson, UNITED STATES",32.9481789,-96.7297206
"Hangzhou, CHINA",30.2489634,120.2052342
"Seoul, SOUTH KOREA",37.5666791,126.9782914
"Adelaide, AUSTRALIA",-34.9281805,138.5999312
"San Francisco, UNITED STATES",37.7879363,-122.4075201
"Guildford, UNITED KINGDOM",51.2356068,-0.5732063
"Indiana, UNITED STATES",40.3270127,-86.1746933
"Seattle, UNITED STATES",47.6038321,-122.330062
"Redmond, UNITED STATES",47.6694141,-122.1238767
"Boston, UNITED STATES",42.3588336,-71.0578303
"Skövde, SWEDEN",58.3896329,13.8456344
"Quebec City, CANADA",46.8137431,-71.2084061
"Helsingborg, SWEDEN",56.0442098,12.703706
"Prague, CZECH REPUBLIC",50.0850112,14.4265172
"Barcelona, SPAIN",41.3825802,2.177073
"Valencia, SPAIN",39.4697065,-0.3763353
"San Diego, UNITED STATES",32.7174202,-117.162772
